标志,ID,人物,位置,内容,跳转
^,0,6,,（西汉背景图）怎么实现从全白背景到西汉背景图？,1
#,1,你,左,这是哪里？,2
#,2,大喵,右,欢迎来到历史上的西汉时期！,3
#,3,大喵,右,"在这片科技蓬勃发展的土地上，""黄老之学""与儒家思想交融，社会崇尚实用技术，催生了许多惊人的发明。",4
#,4,大喵,右,而今，一项神秘的透光镜正待铸成——它能将镜背的花纹透过光影映现，令人称奇！,5
#,5,大喵,右,你的使命是：帮助工匠们完成透光镜的铸造。快去向坊间的能工巧匠请教吧，解开这光学奇迹的奥秘！,6
#,6,你,左,（拱手作揖，恭敬问道）,7
#,7,你,左,诸位老师傅安好！小子见诸位在此专心致志，不知可是在铸造什么稀世珍宝？,8
#,8,工匠,右,哈哈哈我们正是要铸那传说中的'透光宝镜'，此镜之妙，首在铸坯——铜锡相合，火候需极精纯。,9
#,9,工匠,右,镜背雕纹须深峻，镜面却要匀薄如纸。,10
#,10,工匠,右,而后磨镜之术最是紧要：以玄石蘸细砂，顺纹而研，逆光而砺，直至镜面隐现凹凸，肉眼难察。,11
#,11,工匠,右,待日光一照，背纹自透影于壁，恍若神工矣！,12
#,12,工匠,右,年轻人可否麻烦你帮我们收集我刚才所说的这些材料？,13
#,13,你,左,好的，师傅们，我这就启程！,14
END,14,,,,
